,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
accusation,0.06250000005740365,0.06250000016194693,0.06250000018900986,0.06250000047379954,0.06250000017835212,0.06271164626053548,0.0625000001748778,0.5622883525040745
accusatory,0.562499999588452,0.06250000005080945,0.06250000005964192,0.06250000014938498,0.06250000005615673,0.062500000030657,0.06250000005508795,0.06250000000981003
accused,0.1607142296645498,0.017857142905046596,0.017857142913240878,0.017857142997848015,0.017857142910005785,0.01787930336694376,0.1607144052752199,0.5892634899671453
accustomed,0.13168702579365005,0.007812500021227952,0.13281262461590362,0.007812500062478684,0.007812500023442758,0.07849907965025321,0.1953127170610393,0.4382510527720045
ached,0.5624563423640904,0.06250000007573522,0.0625000000889665,0.06250000022253631,0.0625000000835077,0.06250000004568444,0.0625000000821734,0.06254365703730612
acid,0.0313880976424136,0.03125000009310907,0.03125000010935431,0.031250000273896114,0.03125000010277056,0.2812501203741906,0.03125000010100096,0.5311117813032648
acidity,0.06250000003374016,0.06250000009487813,0.06250000011143321,0.06250000027895809,0.0625000001048479,0.06250000005728822,0.06250000010306578,0.5624999992157885
acids,0.06250000001042742,0.06250000002935131,0.06250000003443781,0.06250000008637782,0.0625000000324593,0.5624999997694712,0.06250000003181579,0.06250000000565932
acolyte,0.062500000005662,0.562499999881117,0.06250000001869889,0.06250000004693641,0.06250000001761837,0.06250000000961976,0.06250000001727339,0.06250000000307432
acquaintance,0.06250000000620352,0.06250000001747945,0.5624999998726282,0.06250000005150781,0.0625000000193109,0.06250000001055217,0.06250000001895288,0.062500000003365
acquaintances,0.06250000003374016,0.06250000009487813,0.06250000011143321,0.06250000027895809,0.0625000001048479,0.06250000005728822,0.06250000010306578,0.5624999992157885
acquire,0.041666666709055146,0.37500030973030585,0.041666666806433245,0.04166666701717243,0.04166666679853085,0.36183319057082663,0.041666666795959595,0.0548331655717163
acquired,0.11397498647426318,0.012500000034784202,0.012500000040794384,0.01250000010234477,0.212500230704207,0.257140394690942,0.01250000003769709,0.3663843879149672
acrobat,0.041666666694755175,0.0416666667458023,0.0416666667595526,0.04166666689956726,0.04166666675414936,0.37500009572165177,0.04166666675246149,0.3749999036720601
acrobatic,0.04166666669411278,0.04166666674394295,0.041666666757406115,0.041666666894016324,0.3750002108589947,0.04166666671331692,0.04166666675045727,0.3749997885877529
acrobatics,0.041666666694729036,0.04166666674579319,0.37500022928053006,0.0416666668995853,0.041666666754138215,0.04166666671443918,0.04166666675245187,0.37499977015833325
